"Exp1","Exp2","Exp3","Exp3"
"1.090874501E8","1.011429799E8","6.650815E7","8.18593601E7"
"Exp1","Exp2","Exp3","Exp3"
"1.1508164E8","8.651662E7","1.753991E7","9820900.0"
"Exp1","Exp2","Exp3","Exp3"
"1.0273937E8","4.918919E7","2.331787E7","9332730.0"
"Exp1","Exp2","Exp3","Exp3"
"1.0226326E8","5.006075E7","2.183492E7","1.072722E7"
"Exp1","Exp2","Exp3","Exp3"
"1.0612107E8","5.250112E7","2.102334E7","1.009461E7"
"Exp1","Exp2","Exp3","Exp3"
"1.0101055E8","5.883045E7","2.165843E7","9987450.0"
"Exp1","Exp2","Exp3","Exp3"
"1.0472103E8","5.57092E7","2.34967E7","1.389044E7"
"Exp1","Exp2","Exp3","Exp3"
"1.0476057E8","5.528281E7","2.238614E7","1.363775E7"
"Exp1","Exp2","Exp3","Exp3"
"1.0100908E8","6.085589E7","2.44197E7","1.387495E7"
"Exp1","Exp2","Exp3","Exp3"
"1.0558355E8","5.388385E7","2.141799E7","1.008698E7"
"Exp1","Exp2","Exp3","Exp3"
"5.139047E7","7494670.0","5743730.0","8728940.0"
"Exp1","Exp2","Exp3","Exp3"
"5.905293E7","5.539596E7","3.203619E7","1.295224E7"
"Exp1","Exp2","Exp3","Exp3"
"6.299377E7","1.440779E7","1.099011E7","8366930.0"
"Exp1","Exp2","Exp3","Exp3"
"94380.0","92370.0","94510.0","99170.0"
"Exp1","Exp2","Exp3","Exp3"
"98250.0","79610.0","79700.0","78670.0"
"Exp1","Exp2","Exp3","Exp3"
"108480.0","85780.0","87740.0","83050.0"
"Exp1","Exp2","Exp3","Exp4"
"100930.0","90120.0","79180.0","74980.0"
"Exp1","Exp2","Exp3","Exp4"
"104410.0","84990.0","89310.0","79450.0"
"Exp1","Exp2","Exp3","Exp4"
"105750.0","88100.0","87560.0","83150.0"
"Exp1","Exp2","Exp3","Exp4"
"102730.0","82640.0","84680.0","78220.0"
"Exp1","Exp2","Exp3","Exp4"
"4.028296E7","2.686397E7","4.523593E7","7478510.0"
"Exp1","Exp2","Exp3","Exp4"
"3.654172E7","1.598982E7","1.570686E7","1.160833E7"
"Exp1","Exp2","Exp3","Exp4"
"1402140.0","1.63729E7","1.168692E7","8446500.0"
"Exp1","Exp2","Exp3","Exp4"
"3.574716E7","1.665908E7","1.517784E7","1.110404E7"
"Exp1","Exp2","Exp3","Exp4"
"3.924119E7","6.344415E7","5.312462E7","1.1279309E8"
"Exp1","Exp2","Exp3","Exp4"
"3.41789E7","5.594089E7","4.833522E7","7.726514E7"
"Exp1","Exp2","Exp3","Exp4"
"3.596218E7","5.009253E7","5.095377E7","8.068085E7"
