"Exp1","Exp2","Exp3","Exp3"
"1.1508164E8","8.651662E7","1.753991E7","9820900.0"
"9004950.0","1.052753E7","8238800.0","9010850.0"
"Exp1","Exp2","Exp3","Exp3"
"1.0273937E8","4.918919E7","2.331787E7","9332730.0"
"9741810.0","9252800.0","8713110.0","9127030.0"
"Exp1","Exp2","Exp3","Exp3"
"98250.0","79610.0","79700.0","78670.0"
"98250.0","79610.0","79700.0","78670.0","95740.0","84680.0","79680.0","82460.0"
"Exp1","Exp2","Exp3","Exp3"
"108480.0","85780.0","87740.0","83050.0"
"93790.0","84540.0","82420.0","79290.0"
"Exp1","Exp2","Exp3","Exp4"
"100930.0","90120.0","79180.0","74980.0"
"98850.0","90660.0","88490.0","79930.0"
"Exp1","Exp2","Exp3","Exp4"
"97970.0","82830.0","83190.0","81530.0"
"Exp1","Exp2","Exp3","Exp4"
"93950.0","89540.0","77030.0","83240.0"
"Exp1","Exp2","Exp3","Exp4"
"102630.0","82520.0","83670.0","83210.0"
"Exp1","Exp2","Exp3","Exp4"
"1.9149964E8","4.0232375E8","3.8495367E8","1.408595E7"
"Exp1","Exp2","Exp3","Exp4"
"1.5262871E8","3.0341588E8","2.9158677E8","2.3637775E8"
"Exp1","Exp2","Exp3","Exp4"
"1.5763475E8","2.99414E8","3.2139722E8","2.1758947E8"
